sentiment,mean_trades_per_day,mean_trade_size_usd,mean_volume_usd,mean_long_short_ratio,mean_net_long_bias
Fear,105.3632911392405,8529.859802485056,756720.3180126583,2.22282859107653,13.630379746835443
Neutral,100.22872340425532,6963.694860853634,479367.18904255313,1.3576321749194495,10.289893617021276
Greed,76.91226575809199,5954.63263265916,351829.35203577514,1.3004929367424527,-3.8185689948892674
